Simbolo,Descrizione,Prezzo,Prezzo - Valuta,Settore,Capitalizzazione di mercato,Capitalizzazione di mercato - Valuta,Borsa del mercato
UCG,UniCredit S.p.A.,74.24,EUR,Finanza,136012376812.09665,USD,
ISP,Intesa Sanpaolo S.p.A.,5.868,EUR,Finanza,120145401663.82721,USD,
ENEL,Enel SpA,9.592,EUR,Utenze,108665913177.05495,USD,
RACE,Ferrari NV,309.7,EUR,Beni di consumo durevoli,86118181153.7782,USD,
ENI,Eni S.p.A.,18.598,EUR,Minerali energetici,66611231649.13545,USD,
G,Assicurazioni Generali S.p.A.,35.75,EUR,Finanza,64876643338.16065,USD,
LDO,Leonardo SpA,58.44,EUR,Tecnologia elettronica,39923211769.709404,USD,
PST,Poste Italiane SpA,23.32,EUR,Trasporti,35431357233.9564,USD,
PRY,Prysmian S.p.A.,96.72,EUR,Filiera di fabbricazione,32939346560.85495,USD,
BMPS,Banca Monte dei Paschi di Siena S.p.A.,8.76,EUR,Finanza,31420048040.6911,USD,
STMMI,STMicroelectronics NV,28.14,EUR,Tecnologia elettronica,30011969422.4738,USD,
STLAM,Stellantis N.V.,6.513,EUR,Beni di consumo durevoli,28920783503.50975,USD,
BPE,BPER Banca S.p.A.,12.51,EUR,Finanza,28707516186.582703,USD,
TEN,Tenaris S.A.,22.2,EUR,Minerali non energetici,27959798451.92175,USD,
SRG,Snam S.p.A.,6.392,EUR,Utenze,25365324148.17235,USD,
TRN,Terna S.p.A.,9.95,EUR,Utenze,23424126225.0796,USD,
BAMI,Banco BPM SpA,13.005,EUR,Finanza,22952863256.8839,USD,
MB,Mediobanca - Banca di Credito Finanziario S.p.A.,19.37,EUR,Finanza,18508681226.252,USD,
MONC,Moncler SpA,57.44,EUR,Beni di consumo non durevoli,18177145333.691402,USD,
UNI,UNIPOL ASSICURAZIONI SPA,21.135,EUR,Finanza,17841929326.0236,USD,
TIT,Telecom Italia S.p.A.,0.6618,EUR,Comunicazione,17299293161.8939,USD,
BMED,Banca Mediolanum SpA,18.1,EUR,Finanza,15579005175.13005,USD,
FBK,FinecoBank SpA,20.02,EUR,Finanza,14389404454.9606,USD,
IG,Italgas SpA,10.98,EUR,Utenze,13101996319.67305,USD,
REC,Recordati S.p.A.,48,EUR,Tecnologia sanitaria,11712948187.39505,USD,
BZU,Buzzi Spa,49.38,EUR,Minerali non energetici,10704082253.6678,USD,
BPSO,Banca Popolare di Sondrio S.p.A.,17.995,EUR,Finanza,9482853806.6721,USD,
CPR,Davide Campari-Milano N.V.,6.624,EUR,Beni di consumo non durevoli,9441363902.32925,USD,
INW,Infrastrutture Wireless Italiane S.p.A.,8.75,EUR,Comunicazione,9351395851.56545,USD,
A2A,A2A S.p.A.,2.433,EUR,Utenze,8839272071.8635,USD,
SPM,Saipem S.p.A.,3.432,EUR,Servizi industriali,7954979398.22565,USD,
IVG,Iveco Group NV,19.1,EUR,Beni di consumo durevoli,7776013397.31205,USD,
HER,Hera S.p.A.,4.352,EUR,Utenze,7433288100.7633505,USD,
BC,Brunello Cucinelli S.p.A.,88.02,EUR,Beni di consumo non durevoli,7025418734.9656,USD,
LTMC,Lottomatica Group S.P.A.,20.5,EUR,Servizi al consumatore,6076880489.635651,USD,
AZM,Azimut Holding Spa,35.47,EUR,Finanza,5919252799.3504,USD,
FCT,Fincantieri S.p.A.,15.11,EUR,Filiera di fabbricazione,5732512059.5494,USD,
NEXI,Nexi S.p.A.,3.296,EUR,Servizi commerciali,4463035542.831901,USD,
DIA,DiaSorin S.p.A.,71.12,EUR,Tecnologia sanitaria,4462333482.7563505,USD,
AMP,Amplifon SpA,13.255,EUR,Servizi di distribuzione,3504915438.1609,USD,
